KODE IJIN,NAMA IJIN
11001,SATS LN dari DepHut dan Izin CITES dari negara pengekspor.
12001,Sertifikasi
13001,SNI Gula Kristal Mentah
13002,Wajib izin impor dari Departemen Pertanian
13003,Wajib Izin dan/atau Pendaftaran Pestisida dari Menteri Pertanian
13604,Rekomendasi Impor Produk Holtikultura
14001,Sertifikat Produk Penggunaan Tanda SNI
14003,Pengecualian SNI
14210,Rekomendasi IP Tekstil
15001,Wajib Izin Impor dari POLRI
16000,Dilarang
16001,Surat Keterangan Registrasi Bahan Berbahaya dan Beracun (B3)
17001,SNI
17002,Nomor Pelumas Terdaftar
17003,Ijin Usaha Niaga Umum/Ijin Usaha Niaga Terbatas
17004,Izin pencantuman tanda SKEM dan Label Tanda Hemat Energi/Rekomendasi pengiriman sampel uji Piranti Pengkondisi Udara
21001,Nomor Pendaftaran Obat Ikan
22002,BP Kawasan Batam
22009,IT Cakram Optik
22013,IP Plastik
22016,IP Cakram Optik
22049,IT Kendaraan Bermotor
22215,IP Garam Industri
22306,IT Garam Yodium
22308,IT Mesin Multi Fungsi Berwarna
22309,IT Minuman Beralkohol
22519,Alas Kaki
22520,Elektronik
22521,Mainan Anak-anak
22522,Garment/Pakaian jadi
22523,Makanan dan Minuman
22603,IT Hortikultura
22701,IT Alat Mesin dan Pertanian
22850,Kosmetik (Kecantikan)
22851,Obat Tradisionil
23001,Ijin BKPM
